make_name,make_name_normalized,model_name,model_name_normalized,model_year,trim_name,trim_name_normalized,body_type_raw,body_type_normalized,transmission_raw,transmission_normalized,msrp_base_candidate,source_row_count,source_mmr_median,source_sellingprice_median,source_vin_sample,placeholder_image_url,needs_enrichment,enrichment_missing_fields,selection_status,selection_reason,variant_sort_order,fuel_type,engine,drivetrain,doors,seats,horsepower,cylinders,engine_displacement_cc,transmission_detail,mpg_city,mpg_highway,mpg_combined,body_class_refined,compare_confidence_notes,enrichment_status,enrichment_confidence,source_used,match_key_used,enrichment_notes,ready_for_import
Chevrolet,chevrolet,Cruze,cruze,2014,1LT,1lt,Sedan,sedan,automatic,Automatic,12300,1016,12300.0,12000,1g1pc5sb1e7133696,/placeholders/catalog/sedan.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Mainstream compact option with usable pricing coverage and trim spread.,1,Gasoline,1.4L I4 Turbo,Front-Wheel Drive,4.0,,,4.0,1400.0,Automatic,26,37,30,Sedan/Saloon,Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Cruze,cruze,2014,2LT,2lt,Sedan,sedan,automatic,Automatic,13150,960,13150.0,13100,1g1pe5sb0e7128497,/placeholders/catalog/sedan.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Mainstream compact option with usable pricing coverage and trim spread.,2,Gasoline,1.4L I4 Turbo,Front-Wheel Drive,4.0,,,4.0,1400.0,Automatic,26,37,30,Sedan/Saloon,Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Cruze,cruze,2013,1LT,1lt,Sedan,sedan,automatic,Automatic,10600,813,10600.0,10500,1g1pc5sb0d7114894,/placeholders/catalog/sedan.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Mainstream compact option with usable pricing coverage and trim spread.,3,Gasoline,1.4L I4 Turbo,Front-Wheel Drive,4.0,,,4.0,1400.0,Automatic,26,37,30,Sedan/Saloon,Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Equinox,equinox,2013,LT,lt,SUV,suv,automatic,Automatic,15900,751,15900.0,15700,2gnaldek7d6387406,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Compact SUV value option with usable data quality.,1,Gasoline,2.4L 4-cyl SIDI,Front-Wheel Drive,4.0,,,4.0,2400.0,Automatic 6-spd,22,31,26,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Equinox,equinox,2012,LT,lt,SUV,suv,automatic,Automatic,14250,496,14250.0,14225,2gnaldek4c1179950,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Compact SUV value option with usable data quality.,2,Gasoline,2.4L 4-cyl SIDI; FFV,Front-Wheel Drive,4.0,,,4.0,2400.0,Automatic 6-spd,22,31,26,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Equinox,equinox,2012,LS,ls,SUV,suv,automatic,Automatic,13050,457,13050.0,12900,2gnalbek0c1182204,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Compact SUV value option with usable data quality.,3,Gasoline,2.4L 4-cyl SIDI; FFV,Front-Wheel Drive,4.0,,,4.0,2400.0,Automatic 6-spd,22,31,26,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Silverado 1500,silverado-1500,2014,LT,lt,Crew Cab,pickup,automatic,Automatic,27700,683,27700.0,27700,3gcpcrec0eg206712,/placeholders/catalog/pickup.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,High-volume pickup that adds truck compare coverage.,1,Gasoline,5.3L 8-cyl SIDI; FFV,Two-Wheel Drive (4x2),4.0,,,8.0,5300.0,Automatic 6-spd,16,23,19,Pickup,Fuel type grounded as Gasoline. Drivetrain grounded as Two-Wheel Drive (4x2). MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Silverado 1500,silverado-1500,2013,LT,lt,Crew Cab,pickup,automatic,Automatic,25400,503,25400.0,25300,1gcrcse02dz277690,/placeholders/catalog/pickup.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,High-volume pickup that adds truck compare coverage.,2,Flex Fuel,5.3L V8 FFV,Two-Wheel Drive (4x2),2.0,,,8.0,5300.0,Automatic 6-spd,15,21,17,Pickup,Fuel type grounded as Flex Fuel. Drivetrain grounded as Two-Wheel Drive (4x2). MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Silverado 1500,silverado-1500,2011,LT,lt,Crew Cab,pickup,automatic,Automatic,20300,477,20300.0,20400,1gcrcse0xbz231358,/placeholders/catalog/pickup.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,High-volume pickup that adds truck compare coverage.,3,Flex Fuel,5.3L V8 FFV,Two-Wheel Drive (4x2),2.0,,,8.0,5300.0,Automatic 6-spd,15,21,17,Pickup,Fuel type grounded as Flex Fuel. Drivetrain grounded as Two-Wheel Drive (4x2). MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Traverse,traverse,2012,LS,ls,SUV,suv,automatic,Automatic,14900,315,14900.0,14900,1gnkreed3cj163030,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Three-row family SUV with practical compare value.,1,Gasoline,3.6L V6 SIDI,Front-Wheel Drive,4.0,,,6.0,3600.0,Automatic 6-spd,17,24,19,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Traverse,traverse,2012,LT,lt,SUV,suv,automatic,Automatic,17500,186,17500.0,17000,1gnkvjed9cj192326,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Three-row family SUV with practical compare value.,2,Gasoline,3.6L V6 SIDI,All-Wheel Drive,4.0,,,6.0,3600.0,Automatic 6-spd,16,23,19,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as All-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Traverse,traverse,2014,LT,lt,SUV,suv,automatic,Automatic,25700,183,25700.0,25600,1gnkrgkd3ej138955,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Three-row family SUV with practical compare value.,3,Gasoline,3.6L V6 SIDI,Front-Wheel Drive,4.0,,,6.0,3600.0,Automatic 6-spd,17,24,19,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Volt,volt,2012,Base,base,Hatchback,hatchback,automatic,Automatic,12350,347,12350.0,12200,1g1ra6e44cu111949,/placeholders/catalog/hatchback.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Electrified model with recognizable identity and enough signal for later enrichment.,1,Plug-in Hybrid,1.4L 4-cyl PHEV,Front-Wheel Drive,4.0,,,4.0,1400.0,Automatic (variable gear ratios),35,40,37,Hatchback/Liftback/Notchback,Fuel type grounded as Plug-in Hybrid. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Volt,volt,2013,Base,base,Hatchback,hatchback,automatic,Automatic,14025,124,14025.0,14400,1g1ra6e43du123172,/placeholders/catalog/hatchback.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Electrified model with recognizable identity and enough signal for later enrichment.,2,Plug-in Hybrid,1.4L 4-cyl PHEV,Front-Wheel Drive,4.0,,,4.0,1400.0,Automatic (variable gear ratios),35,40,37,Hatchback/Liftback/Notchback,Fuel type grounded as Plug-in Hybrid. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Chevrolet,chevrolet,Volt,volt,2011,Base,base,Hatchback,hatchback,automatic,Automatic,13175,24,13175.0,13050,1g1rc6e40bu103839,/placeholders/catalog/hatchback.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Electrified model with recognizable identity and enough signal for later enrichment.,3,Plug-in Hybrid,1.4L 4-cyl PHEV,Front-Wheel Drive,4.0,,,4.0,1400.0,Automatic (variable gear ratios),35,40,37,Hatchback/Liftback/Notchback,Fuel type grounded as Plug-in Hybrid. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Dodge,dodge,Grand Caravan,grand-caravan,2014,SXT,sxt,Minivan,mpv,automatic,Automatic,16600,1950,16600.0,16600,2c4rdgcg0er262496,/placeholders/catalog/mpv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,High-volume minivan benchmark with strong later compare value.,1,Gasoline,3.6L 6-cyl FFV,Front-Wheel Drive,4.0,,,6.0,3600.0,Automatic 6-spd,17,25,20,Minivan,Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Dodge,dodge,Grand Caravan,grand-caravan,2013,SXT,sxt,Minivan,mpv,automatic,Automatic,11700,1149,11700.0,11600,2c4rdgcg0dr582559,/placeholders/catalog/mpv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,High-volume minivan benchmark with strong later compare value.,2,Gasoline,3.6L 6-cyl,Front-Wheel Drive,4.0,,283.0,6.0,3600.0,Automatic 6-spd,17,25,20,Minivan,Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Dodge,dodge,Grand Caravan,grand-caravan,2012,SXT,sxt,Minivan,mpv,automatic,Automatic,10500,651,10500.0,10200,2c4rdgcg0cr130934,/placeholders/catalog/mpv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,High-volume minivan benchmark with strong later compare value.,3,Flex Fuel,3.6L 6-cyl FFV,Front-Wheel Drive,4.0,,283.0,6.0,3600.0,Automatic 6-spd,17,25,20,Minivan,Fuel type grounded as Flex Fuel. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Ford,ford,Escape,escape,2013,SE,se,SUV,suv,automatic,Automatic,15350,2001,15350.0,14900,1fmcu0gx1dud24704,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Mainstream compact SUV with good pricing coverage.,1,Gasoline,1.6L I4 Turbo SIDI,Two-Wheel Drive (4x2),4.0,,178.0,4.0,1600.0,Automatic (S6),22,29,25,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as Two-Wheel Drive (4x2). MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Ford,ford,Escape,escape,2012,XLT,xlt,SUV,suv,automatic,Automatic,14500,1468,14500.0,14300,1fmcu0d73ckc12727,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Mainstream compact SUV with good pricing coverage.,2,Hybrid,2.5L I4,Front-Wheel Drive,4.0,,,4.0,2500.0,Automatic (variable gear ratios),34,30,32,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Hybrid. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Ford,ford,Escape,escape,2013,SEL,sel,SUV,suv,automatic,Automatic,18300,1399,18300.0,18000,1fmcu0hx2dub77727,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Mainstream compact SUV with good pricing coverage.,3,Gasoline,1.6L I4 Turbo SIDI,Two-Wheel Drive (4x2),4.0,,178.0,4.0,1600.0,Automatic (S6),22,29,25,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as Two-Wheel Drive (4x2). MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Ford,ford,Explorer,explorer,2013,XLT,xlt,SUV,suv,automatic,Automatic,25600,1674,25600.0,25000,1fm5k7d80dgb81425,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Large family SUV with strong row volume and recognizable buyer use case.,1,Gasoline,3.5L V6 FFV,Front-Wheel Drive,4.0,,290.0,6.0,3500.0,Automatic (S6),17,24,20,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Ford,ford,Explorer,explorer,2014,Limited,limited,SUV,suv,automatic,Automatic,28200,741,28200.0,27800,1fm5k7f82egc01673,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Large family SUV with strong row volume and recognizable buyer use case.,2,Gasoline,3.5L V6 FFV,Front-Wheel Drive,4.0,,290.0,6.0,3500.0,Automatic (S6),17,24,20,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Ford,ford,Explorer,explorer,2012,XLT,xlt,SUV,suv,automatic,Automatic,22900,512,22900.0,22900,1fmhk7d85cga99105,/placeholders/catalog/suv.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Large family SUV with strong row volume and recognizable buyer use case.,3,Gasoline,3.5L V6,Front-Wheel Drive,4.0,,290.0,6.0,3500.0,Automatic (S6),18,25,20,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Fuel type grounded as Gasoline. Drivetrain grounded as Front-Wheel Drive. MPG data matched from EPA structured records.,enriched,high,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN exact + EPA structured match Seats not available from the structured VIN sample.,True
Ford,ford,F-150,f-150,2013,XLT,xlt,SuperCrew,pickup,automatic,Automatic,25000,1144,25000.0,24800,1ftfw1ef6dkf80506,/placeholders/catalog/pickup.svg,True,"engine,drivetrain,fuel_type,seats,doors",selected,Full-size pickup benchmark with strong row count and trim spread.,1,Gasoline,5.0L V8 Coupe or Conv.,Four-Wheel Drive (4x4),,,360.0,8.0,5000.0,Automatic 6-spd,18,25,20,Pickup,Fuel type grounded as Gasoline. Drivetrain grounded as Four-Wheel Drive (4x4). MPG data matched from EPA structured records.,enriched,medium,NHTSA vPIC VIN decode; EPA FuelEconomy vehicles.csv,epa_match,VIN decode aligned on make/year with partial trim/model ambiguity Seats not available from the structured VIN sample. Trim-level alignment is good enough for review but should be spot-checked before import.,True
