variant_id,make_name,model_name,model_year,trim_name,body_type,fuel_type,transmission,msrp_base,current_image_count,current_primary_image_url,image_status,image_url,sort_order,notes
99,Jeep,Wrangler,2014,Unlimited Sahara,suv,gasoline,Automatic 5-spd,30600.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
72,GMC,Acadia,2012,Denali,suv,gasoline,Automatic 6-spd,28900.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
58,Ford,Explorer,2014,Limited,suv,gasoline,Automatic (S6),28200.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
112,Lexus,ES 350,2013,Base,sedan,gasoline,Automatic (S6),28000.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
114,Lexus,RX 350,2012,Base,suv,hybrid,Automatic (AV-S6),27900.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
42,Chevrolet,Silverado 1500,2014,LT,pickup,gasoline,Automatic 6-spd,27700.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
168,Toyota,Tacoma,2013,V6,pickup,gasoline,Automatic 5-spd,27500.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
157,Toyota,Highlander,2012,Limited,suv,gasoline,Automatic (S5),27200.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
101,Jeep,Wrangler,2012,Unlimited Sahara,suv,other,Automatic 5-spd,27100.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
62,Ford,F-150,2014,XLT,pickup,gasoline,Automatic 6-spd,26850.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
123,Mercedes-Benz,M-Class,2011,ML350 4MATIC,suv,gasoline,Automatic 7-spd,26000.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
47,Chevrolet,Traverse,2014,LT,suv,gasoline,Automatic 6-spd,25700.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
145,Subaru,Outback,2014,2.5i Limited PZEV,wagon,gasoline,Continuously Variable Transmission (CVT),25700.00,1,/placeholders/catalog/wagon.svg,placeholder,,0,
57,Ford,Explorer,2013,XLT,suv,gasoline,Automatic (S6),25600.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
43,Chevrolet,Silverado 1500,2013,LT,pickup,other,Automatic 6-spd,25400.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
100,Jeep,Wrangler,2013,Unlimited Sport,suv,gasoline,Automatic 5-spd,25400.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
138,Ram,1500,2014,SLT,pickup,gasoline,Automatic 6-spd,25400.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
60,Ford,F-150,2013,XLT,pickup,gasoline,Automatic 6-spd,25000.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
169,Toyota,Tacoma,2013,PreRunner V6,pickup,gasoline,Automatic 5-spd,24700.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
116,Lexus,RX 350,2011,Base,suv,gasoline,Automatic (S6),24250.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
170,Toyota,Tacoma,2011,V6,pickup,gasoline,Automatic 5-spd,23800.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
27,BMW,3 Series,2012,328i,sedan,gasoline,Automatic (S8),23500.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
139,Ram,1500,2013,Tradesman,pickup,gasoline,Automatic 8-spd,23500.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
141,Subaru,Forester,2015,2.5i Premium PZEV,suv,gasoline,Continuously Variable Transmission (CVT),23500.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
147,Toyota,4Runner,2011,SR5,suv,gasoline,Automatic (S5),23500.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
74,GMC,Acadia,2012,SLT-1,suv,gasoline,Automatic 6-spd,23300.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
25,Audi,A4,2013,2.0T Premium quattro,sedan,gasoline,Automatic,23200.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
59,Ford,Explorer,2012,XLT,suv,gasoline,Automatic (S6),22900.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
96,Jeep,Grand Cherokee,2012,Laredo,suv,other,Automatic 5-spd,22800.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
144,Subaru,Outback,2014,2.5i Premium PZEV,wagon,gasoline,Continuously Variable Transmission (CVT),22500.00,1,/placeholders/catalog/wagon.svg,placeholder,,0,
122,Mercedes-Benz,C-Class,2013,C250 Sport,sedan,gasoline,Automatic 7-spd,22300.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
85,Honda,Odyssey,2012,EX-L,mpv,gasoline,Automatic 5-speed,22200.00,1,/placeholders/catalog/mpv.svg,placeholder,,0,
166,Toyota,Sienna,2014,LE 7-Passenger Mobility Auto Access,mpv,gasoline,Automatic (S6),22200.00,1,/placeholders/catalog/mpv.svg,placeholder,,0,
111,Lexus,ES 350,2012,Base,sedan,gasoline,Automatic (S6),22100.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
156,Toyota,Highlander,2012,Base,suv,gasoline,Automatic (S5),22000.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
142,Subaru,Forester,2014,2.5i Premium PZEV,suv,gasoline,Manual/Standard 6-speed,21800.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
121,Mercedes-Benz,C-Class,2012,C300 Luxury 4MATIC,sedan,gasoline,Automatic 7-spd,21500.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
61,Ford,F-150,2011,XLT,pickup,gasoline,Automatic 6-spd,21400.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
120,Mercedes-Benz,C-Class,2012,C250 Sport,sedan,gasoline,Automatic 7-spd,20900.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
24,Audi,A4,2012,2.0T Premium quattro,sedan,gasoline,Automatic,20700.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
105,Kia,Sorento,2015,LX,suv,gasoline,Automatic 6-spd,20600.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
71,Ford,Fusion Hybrid,2014,Titanium,sedan,gasoline,Automatic (S6),20350.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
44,Chevrolet,Silverado 1500,2011,LT,pickup,other,Automatic 6-spd,20300.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
78,Honda,CR-V,2012,EX-L,suv,gasoline,Automatic 5-speed,20300.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
98,Jeep,Grand Cherokee,2011,Laredo,suv,gasoline,Automatic 5-spd,19775.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
29,BMW,3 Series,2011,328i xDrive,sedan,gasoline,Automatic (S6),19450.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
28,BMW,3 Series,2011,328i,sedan,gasoline,Automatic (S6),18700.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
140,Ram,1500,2012,ST,pickup,gasoline,Automatic 6-spd,18450.00,1,/placeholders/catalog/pickup.svg,placeholder,,0,
56,Ford,Escape,2013,SEL,suv,gasoline,Automatic (S6),18300.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
84,Honda,Odyssey,2012,EX,mpv,gasoline,Automatic 5-speed,18200.00,1,/placeholders/catalog/mpv.svg,placeholder,,0,
79,Honda,CR-V,2012,EX,suv,gasoline,Automatic 5-speed,17950.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
46,Chevrolet,Traverse,2012,LT,suv,gasoline,Automatic 6-spd,17500.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
80,Honda,CR-V,2013,LX,suv,gasoline,Automatic 5-speed,17350.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
165,Toyota,Sienna,2013,LE 7-Passenger Mobility Auto Access,mpv,gasoline,Automatic (S6),17350.00,1,/placeholders/catalog/mpv.svg,placeholder,,0,
90,Hyundai,Santa Fe,2013,Sport,suv,gasoline,Automatic 6-spd,17300.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
143,Subaru,Forester,2011,2.5X Premium,suv,gasoline,Automatic 4-speed,17050.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
167,Toyota,Sienna,2012,LE 8-Passenger,mpv,gasoline,Automatic (S6),17050.00,1,/placeholders/catalog/mpv.svg,placeholder,,0,
69,Ford,Fusion Hybrid,2014,SE,sedan,gasoline,Automatic (S6),16950.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
164,Toyota,RAV4,2013,LE,suv,gasoline,Automatic (S6),16900.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
106,Kia,Sorento,2014,LX,suv,gasoline,Automatic 6-spd,16850.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
51,Dodge,Grand Caravan,2014,SXT,mpv,gasoline,Automatic 6-spd,16600.00,1,/placeholders/catalog/mpv.svg,placeholder,,0,
150,Toyota,Camry,2014,SE,sedan,gasoline,Automatic (S6),16350.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
70,Ford,Fusion Hybrid,2013,SE,sedan,hybrid,Automatic (variable gear ratios),16050.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
39,Chevrolet,Equinox,2013,LT,suv,gasoline,Automatic 6-spd,15900.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
54,Ford,Escape,2013,SE,suv,gasoline,Automatic (S6),15350.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
151,Toyota,Camry,2014,LE,sedan,gasoline,Automatic (S6),15250.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
102,Kia,Optima,2014,LX,sedan,gasoline,Automatic 6-spd,15150.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
107,Kia,Sorento,2013,LX,suv,gasoline,Automatic 6-spd,15100.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
67,Ford,Fusion,2014,SE,sedan,gasoline,Automatic (S6),15000.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
133,Nissan,Rogue,2012,SV,suv,gasoline,Automatic (variable gear ratios),14950.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
45,Chevrolet,Traverse,2012,LS,suv,gasoline,Automatic 6-spd,14900.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
134,Nissan,Rogue,2011,SV,suv,gasoline,Automatic (variable gear ratios),14800.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
162,Toyota,RAV4,2012,Base,suv,gasoline,Automatic 4-spd,14750.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
146,Subaru,Outback,2011,2.5i Premium,wagon,gasoline,Continuously Variable Transmission (CVT),14725.00,1,/placeholders/catalog/wagon.svg,placeholder,,0,
77,Honda,Accord,2012,EX-L,sedan,gasoline,Automatic 5-speed,14700.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
128,Nissan,Altima,2014,2.5 S,sedan,gasoline,Automatic (variable gear ratios),14650.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
163,Toyota,RAV4,2011,Base,suv,gasoline,Automatic 4-spd,14600.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
159,Toyota,Prius,2013,Two,hatchback,hybrid,Automatic (variable gear ratios),14550.00,1,/placeholders/catalog/hatchback.svg,placeholder,,0,
55,Ford,Escape,2012,XLT,suv,hybrid,Automatic (variable gear ratios),14500.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
40,Chevrolet,Equinox,2012,LT,suv,gasoline,Automatic 6-spd,14250.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
66,Ford,Fusion,2013,SE,sedan,gasoline,Automatic (S6),14250.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
132,Nissan,Rogue,2012,S,suv,gasoline,Automatic (variable gear ratios),14250.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
49,Chevrolet,Volt,2013,Base,hatchback,phev,Automatic (variable gear ratios),14025.00,1,/placeholders/catalog/hatchback.svg,placeholder,,0,
95,Hyundai,Sonata,2014,GLS,sedan,gasoline,Automatic 6-spd,13900.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
108,Kia,Soul,2014,+,wagon,gasoline,Automatic 6-spd,13900.00,1,/placeholders/catalog/wagon.svg,placeholder,,0,
161,Toyota,Prius,2012,Three,hatchback,hybrid,Automatic (variable gear ratios),13750.00,1,/placeholders/catalog/hatchback.svg,placeholder,,0,
154,Toyota,Corolla,2014,LE,sedan,gasoline,Automatic 4-spd,13350.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
75,Honda,Accord,2012,SE,sedan,gasoline,Automatic 5-speed,13200.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
160,Toyota,Prius,2011,Three,hatchback,hybrid,Automatic (variable gear ratios),13200.00,1,/placeholders/catalog/hatchback.svg,placeholder,,0,
50,Chevrolet,Volt,2011,Base,hatchback,phev,Automatic (variable gear ratios),13175.00,1,/placeholders/catalog/hatchback.svg,placeholder,,0,
37,Chevrolet,Cruze,2014,2LT,sedan,gasoline,Automatic,13150.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
83,Honda,Civic,2013,LX,sedan,gasoline,Automatic 5-speed,13150.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
89,Hyundai,Elantra,2014,SE,sedan,gasoline,Automatic 6-spd,13100.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
127,Nissan,Altima,2013,2.5,sedan,gasoline,Automatic (AV-S6),13100.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
41,Chevrolet,Equinox,2012,LS,suv,gasoline,Automatic 6-spd,13050.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
152,Toyota,Camry,2012,LE,sedan,gasoline,Automatic (S6),12850.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
173,Volkswagen,Jetta,2014,SE PZEV,sedan,diesel,Automatic,12400.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
48,Chevrolet,Volt,2012,Base,hatchback,phev,Automatic (variable gear ratios),12350.00,1,/placeholders/catalog/hatchback.svg,placeholder,,0,
36,Chevrolet,Cruze,2014,1LT,sedan,gasoline,Automatic,12300.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
64,Ford,Focus,2014,SE,sedan,gasoline,Automatic (AM6),12250.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
93,Hyundai,Sonata,2013,GLS,sedan,gasoline,Automatic 6-spd,12250.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
103,Kia,Optima,2013,LX,sedan,gasoline,Automatic 6-spd,12250.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
137,Nissan,Sentra,2014,SV,sedan,gasoline,Automatic (variable gear ratios),12250.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
76,Honda,Accord,2012,LX,sedan,gasoline,Automatic 5-speed,12200.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
82,Honda,Civic,2012,EX,sedan,gasoline,Automatic 5-speed,12100.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
126,Nissan,Altima,2012,2.5 S,sedan,gasoline,Automatic (AV-S6),12050.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
26,Audi,A4,2009,2.0T Premium quattro,sedan,gasoline,Automatic (S6) (3MODE CLKUP),11900.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
104,Kia,Optima,2012,LX,sedan,gasoline,Automatic 6-spd,11750.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
52,Dodge,Grand Caravan,2013,SXT,mpv,gasoline,Automatic 6-spd,11700.00,1,/placeholders/catalog/mpv.svg,placeholder,,0,
94,Hyundai,Sonata,2012,GLS,sedan,gasoline,Automatic 6-spd,11700.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
32,BMW,X3,2008,3.0si,suv,gasoline,Automatic (S6) (3MODE CLKUP),11350.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
172,Volkswagen,Jetta,2013,SE PZEV,sedan,gasoline,Manual/Standard 5-speed,11350.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
87,Hyundai,Elantra,2013,GLS,sedan,gasoline,Automatic 6-spd,11250.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
119,Mazda,Mazda3,2012,i Touring,sedan,gasoline,Automatic (S5),11200.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
136,Nissan,Sentra,2013,SV,sedan,gasoline,Automatic (variable gear ratios),11200.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
153,Toyota,Corolla,2013,LE,sedan,gasoline,Automatic 4-spd,11200.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
73,GMC,Acadia,2008,SLT-1,suv,gasoline,Automatic 6-spd (CLKUP),11050.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
109,Kia,Soul,2013,+,wagon,gasoline,Automatic 6-spd,11050.00,1,/placeholders/catalog/wagon.svg,placeholder,,0,
129,Nissan,Leaf,2012,SL,hatchback,ev,Automatic (A1),11025.00,1,/placeholders/catalog/ev.svg,placeholder,,0,
81,Honda,Civic,2012,LX,sedan,gasoline,Automatic 5-speed,11000.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
63,Ford,Focus,2013,SE,sedan,gasoline,Automatic (AM6),10850.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
110,Kia,Soul,2013,Base,wagon,gasoline,Automatic 6-spd,10650.00,1,/placeholders/catalog/wagon.svg,placeholder,,0,
38,Chevrolet,Cruze,2013,1LT,sedan,gasoline,Automatic,10600.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
53,Dodge,Grand Caravan,2012,SXT,mpv,other,Automatic 6-spd,10500.00,1,/placeholders/catalog/mpv.svg,placeholder,,0,
88,Hyundai,Elantra,2012,GLS,sedan,gasoline,Automatic 6-spd,10500.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
68,Ford,Fusion,2012,SE,sedan,hybrid,Automatic (variable gear ratios),10350.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
135,Nissan,Sentra,2012,2.0 SR,sedan,gasoline,Automatic (variable gear ratios),10200.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
117,Mazda,Mazda3,2013,i Sport,sedan,gasoline,Automatic (S6),10100.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
171,Volkswagen,Jetta,2012,SE PZEV,sedan,gasoline,Automatic,10100.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
91,Hyundai,Santa Fe,2010,GLS,suv,gasoline,Automatic 6-spd,10050.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
113,Lexus,ES 350,2007,Base,sedan,hybrid,Automatic (S6),10050.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
155,Toyota,Corolla,2012,LE,sedan,gasoline,Automatic 4-spd,10000.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
149,Toyota,4Runner,2006,SR5,suv,gasoline,Automatic 5-spd (CLKUP),9675.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
30,BMW,X3,2007,3.0si,suv,gasoline,Automatic (S6) (3MODE CLKUP),9588.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
65,Ford,Focus,2012,SE,sedan,gasoline,Automatic (AM6),9500.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
130,Nissan,Leaf,2013,SV,hatchback,ev,Automatic (A1),9488.00,1,/placeholders/catalog/ev.svg,placeholder,,0,
118,Mazda,Mazda3,2012,i Sport,sedan,gasoline,Automatic (S5),9475.00,1,/placeholders/catalog/sedan.svg,placeholder,,0,
125,Mercedes-Benz,M-Class,2006,ML350,suv,gasoline,Automatic 5-spd (EMS 2MODE CLKUP),9362.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
131,Nissan,Leaf,2013,S,hatchback,ev,Automatic (A1),8462.00,1,/placeholders/catalog/ev.svg,placeholder,,0,
31,BMW,X3,2006,3.0i,suv,gasoline,Automatic (S5) (3MODE CLKUP),7775.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
148,Toyota,4Runner,2005,SR5,suv,gasoline,Automatic 5-spd (CLKUP),7600.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
86,Honda,Odyssey,2007,EX-L,mpv,gasoline,Automatic 5-speed,7238.00,1,/placeholders/catalog/mpv.svg,placeholder,,0,
158,Toyota,Highlander,2003,Base,suv,gasoline,Automatic 4-spd (CLKUP),5338.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
92,Hyundai,Santa Fe,2005,GLS,suv,gasoline,Automatic 5-spd (CMODE CLKUP),3300.00,1,/placeholders/catalog/suv.svg,placeholder,,0,
23,Honda,CRV,2025,Custom listing,suv,hybrid,Automatic,,0,,missing,,0,
